ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,QUALIA CARE LTD IN ADMINISTRATION,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343789
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,PASSMONDS NURSING HOME,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343790
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROOKWOOD,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343791
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343792
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,LITTLE HEATON CARE HOME,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343793
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,LITTLE HEATON CARE HOME,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343793
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,CALTON SYSTEMS LIMITED,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343794
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,CALTON SYSTEMS LIMITED,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343794
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343795
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,EAST AND WEST HEALTHCARE LIMITED,13-Dec-24,"1,546.00 ",NURSING LONG TERM,V002343795
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,VESTACARE  UK LTD,13-Dec-24,"3,930.00 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343796
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,VESTACARE  UK LTD,13-Dec-24,"1,450.00 ",RESIDENTIAL LONG TERM,V002343797
